Tax Overall Rank,Finance Rank,Performance Rank,Overall Rank,Capital Disbursements Per Lane Mile,Maintenence Disbursements Per Lane Mile,Admin Disbursements Per Lane Mile,Total Disbursements Per Lane Miles,Rural Interstate Poor Condition,Urban Interstate Poor Condition,Rural OPA Poor Condition,Urban OPA Poor Condition,Percent Deficient Bridges,Percent Structurally Deficient Bridges,Total Fatilities Per 100 mil. VMT,Rural Fatalities Per 100 mil. VMT,Urban Fatalities Per 100 mil. VMT,State_Hours_Lost_In_Congestion,Cost of Doing Business,INFRASTRUCTURE,"LIFE, HEALTH & INCLUSION",WORKFORCE,ECONOMY,BUSINESS FRIENDLINESS,ACCESS TO CAPITAL,TECHNOLOGY & INNOVATION,EDUCATION,Cost of Living 
22,1,45,30,3,5,3,1,31,33,45,25,48,49,38,26,20,8,21,41,22,44,35,46,47,49,45,15
17,2,5,1,11,2,5,2,7.5,1.5,19,26,34,42,20,7,7,17,18,17,3,38,34,3,47,42,13,25
33,3,36,23,9,3,8,3,45,28,24,11,40,31,50,46,38,26,31,36,39,16,21,27,30,36,36,22
12,4,13,3,1,9,13,5,11,18,12,24,25,34,27,35,45,9,5,25,47,45,10,23,22,24,22,5
45,5,32,17,14,7,4,9,33,37,28,18,4,14,37,45,42,5,4,43,43,42,24,34,37,42,43,4
19,5,14,4,7,13,1,12,21,23,9,6,17,29,47,21,35,23,6,20,29,45,45,41,32,38,34,18
5,5,22,11,8,6,9,6,20,14,35,37,26,27,44,34,3,4,20,43,17,48,18,5,41,35,28,27
32,8,27,15,15,4,10,13,26,26,22,28,24,33,49,33,31,13,7,38,37,41,42,43,32,48,43,1
28,9,35,21,10,19,2,11,29,21,37,48,27,35,31,42,34,2,24,33,9,40,7,6,39,37,11,16
1,10,21,12,13,10,15,10,19,34,18,22,50,24,46,41,15,3,25,29,22,34,43,4,49,40,15,20
42,11,46,35,12,22,7,15,43,49,44,38,18,45,43,22,33,39,3,40,42,25,50,45,23,47,40,17
10,12,12,5,17,12,11,14,22,10,8,10,33,39,29,29,21,29,15,21,37,6,4,9,8,10,17,23
2,13,18,9,4,8,27,4,10,15,29,16,41,47,21,15,5,12,12,48,15,47,17,1,34,46,18,28
35,14,15,7,6,14,17,18,17,29,5,20,16,16,35,48,29,25,16,22,32,32,43,15,29,34,16,2
26,15,3,2,2,27,18,8,6,17,4,15,46,10,15,18,11,27,26,24,11,3,13,11,9,16,2,32
29,16,44,33,16,29,6,17,37,4,46,32,19,44,23,8,4,30,40,50,5,49,37,21,41,42,24,39
23,17,33,27,5,1,36,7,30,24,27,35,31,20,48,40,49,6,11,47,30,13,46,38,31,30,48,7
40,18,28,22,25,18,16,19,18,30,34,29,15,48,18,9,10,22,13,35,5,37,26,34,36,23,20,12
20,19,10,8,31,16,14,21,15,3,7,17,12,23,32,37,23,16,13,37,21,30,1,2,45,31,46,19
11,20,20,16,30,20,12,24,14,25,13,36,43,2,33,25,47,40,10,13,49,1,5,32,3,12,33,13
18,21,9,10,18,21,26,16,16,9,10,8,42,11,40,20,46,19,8,4,46,25,2,20,14,32,23,8
25,22,26,26,28,24,24,29,34,31,41,41,49,28,11,16,13,15,19,27,31,36,31,23,21,16,8,23
14,23,38,34,35,28,23,32,42,45,17,42,22,43,14,10,27,46,16,18,28,28,24,25,20,6,42,11
31,24,7,14,19,25,34,20,23,16,3,1,10,7,28,19,40,34,29,6,45,8,6,22,10,22,24,8
46,25,11,18,23,32,25,27,35,35,25,7,23,13,2,5,2,28,42,12,4,29,18,28,14,4,5,30
8,26,2,6,37,31,21,36,5,8,11,3,44,4,8,36,12,1,22,7,27,17,3,10,17,19,26,26
41,27,23,28,29,11,40,23,24,38.5,26,5,1,9,36,38,37,20,22,32,44,35,29,19,25,33,34,6
39,28,19,24,22,17,42,26,28,32,16,40,35,19,19,13,16,11,2,11,34,38,15,47,7,15,21,14
6,29,6,19,20,26,44,22,2.5,1.5,39,23,29,32,5,31,6,24,35,45,11,30,37,13,40,18,4,36
3,30,50,48,38,36,20,34,48,6,50,4,2,38,30,43,41,7,48,49,19,27,47,16,46,39,47,45
30,31,38,36,26,37,31,30,38,38.5,43,27,36,41,45,27,36,32,1,34,36,32,40,18,27,45,50,3
15,32,16,25,33,30,32,38,12,22,14,19,37,17,39,32,32,36,33,26,16,19,29,44,28,10,31,47
9,33,29,32,36,42,19,33,44,40,15,21,14,21,16,28,14,38,9,3,41,43,21,12,24,25,36,10
21,34,37,37,27,38,33,28,47,36,23,33,6,18,26,23,39,35,38,22,14,2,9,29,16,6,30,34
36,35,41,40,40,35,22,39,27,41,42,30,13,37,13,12,19,48,29,1,24,19,48,48,3,13,10,21
24,36,25,29,39,15,39,37,32,13,31,12,3,3,41,30,50,31,37,8,50,5,14,7,26,27,41,31
43,36,1,13,21,33,45,25,7.5,7,36,14,45,5,3,2,1,14,38,46,1,50,33,31,49,26,5,40
7,38,4,20,34,23,46,31,13,11,2,9,28,1,24,47,30,21,27,2,47,24,23,16,35,50,49,37
27,39,40,39,24,34,37,35,36,43,33,34,38,46,22,11,28,45,28,13,33,22,41,39,12,14,5,33
38,40,49,47,45,39,28,41,50,50,48,44,11,26,17,50,44,18,50,39,2,18,49,36,41,41,31,50
47,41,8,31,43,40,30,43,2.5,5,40,31,7,22,9,4,18,33,45,18,24,15,32,8,18,8,11,43
44,42,24,38,46,41,29,45,25,42,20,39,20,15,12,6,24,42,43,8,20,10,20,26,18,2,18,44
49,43,42,45,41,47,38,44,40,44,32,49,5,25,25,39,43,43,47,27,26,4,27,50,1,1,36,48
4,44,17,41,49,44,35,47,9,20,6,2,9,6,42,44,48,37,32,5,40,12,11,37,5,28,27,28
37,45,48,49,48,46,43,46,2.5,12,49,50,39,50,7,1,26,41,46,42,13,23,36,30,41,28,28,42
13,46,34,44,32,45,50,40,49,48,1,13,8,8,34,49,22,49,34,8,35,14,8,13,38,20,39,35
16,47,30,42,44,49,47,42,46,27,30,43,47,12,10,24,9,10,36,29,7,7,16,39,11,4,14,38
34,48,31,43,42,43,48,48,41,19,21,47,21,36,1,3,8,44,49,29,8,9,28,32,6,2,1,46
48,49,43,46,47,48,41,49,39,46,38,46,32,40,6,17,17,47,41,13,18,19,12,49,2,9,8,49
50,50,47,50,50,50,49,50,2.5,47,47,45,30,30,4,14,25,50,44,16,10,11,39,42,12,20,3,41